# BEST CASE  (Data loaded from a file)
# 656 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (113 ft/s):  "Iris Ultra Parachute [Cd 2.2 (36.0 oz) 199.9 in^3]"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0
0.011,4.998e-4,4.998e-4,0.505,113.458
0.021,0.004,0.004,2.031,191.745
0.024,0.006,0.006,2.641,215.243
0.029,0.011,0.011,3.645,230.095
# Event LIFTOFF occurred at t=0.037 seconds
0.037,0.023,0.023,5.719,258.163
0.047,0.044,0.044,8.379,273.425
0.05,0.052,0.052,9.206,278.005
0.055,0.066,0.066,10.456,278.379
0.061,0.089,0.089,12.339,278.944
0.071,0.131,0.131,15.131,279.78
0.081,0.181,0.181,17.933,280.617
0.091,0.24,0.24,20.745,281.45
0.1,0.299,0.299,23.209,282.182
0.11,0.374,0.374,26.03,282.09
0.12,0.458,0.458,28.852,281.998
0.13,0.55,0.55,31.67,281.903
0.14,0.651,0.651,34.488,281.808
0.15,0.76,0.76,37.306,281.709
0.16,0.878,0.878,40.121,280.915
0.17,1.005,1.005,42.927,280.115
0.18,1.14,1.14,45.722,279.314
0.19,1.283,1.283,48.51,278.51
0.2,1.435,1.435,51.293,277.707
0.21,1.596,1.596,54.065,276.9
0.22,1.765,1.765,56.831,276.089
0.23,1.942,1.942,59.587,275.279
0.24,2.128,2.128,62.336,274.465
0.25,2.322,2.322,65.075,273.652
0.26,2.525,2.525,67.818,274.705
0.27,2.736,2.736,70.571,275.758
0.28,2.955,2.955,73.333,276.811
0.29,3.183,3.183,76.106,277.864
0.3,3.419,3.419,78.891,278.917
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,3.664,3.664,81.686,280.21
0.325,4.047,4.047,85.906,282.142
0.35,4.729,4.729,92.999,285.367
0.387,5.853,5.853,103.891,295.515
0.4,6.256,6.256,107.605,298.901
0.419,6.887,6.887,113.264,304.662
0.447,7.895,7.895,121.952,313.32
0.489,9.55,9.55,135.446,326.325
0.5,10.007,10.007,139.032,329.701
0.516,10.716,10.716,144.472,333.238
0.541,11.831,11.831,152.736,338.543
0.578,13.62,13.62,165.381,346.509
0.6,14.758,14.758,173.081,351.273
0.633,16.564,16.564,184.718,351.739
0.683,19.492,19.492,202.201,352.408
0.7,20.57,20.57,208.278,352.631
0.726,22.247,22.247,217.411,353.891
0.765,24.898,24.898,231.171,355.761
0.8,27.458,27.458,243.783,357.454
0.85,31.31,31.31,261.657,357.408
0.9,35.433,35.433,279.524,357.32
0.95,39.83,39.83,297.402,357.792
1,44.498,44.498,315.302,358.222
1.05,49.439,49.439,333.009,350.049
1.1,54.646,54.646,350.305,341.801
1.15,60.114,60.114,367.116,330.61
1.186,64.207,64.207,378.871,322.507
1.227,69.02,69.02,391.112,274.511
1.27,74.221,74.221,402.411,251.027
1.3,77.935,77.935,409.757,238.615
1.345,83.628,83.628,420.266,228.478
1.395,90.118,90.118,431.407,217.182
1.4,90.776,90.776,432.49,216.05
1.407,91.767,91.767,434.108,214.905
1.419,93.26,93.26,436.516,213.189
1.436,95.514,95.514,440.089,210.614
1.461,98.93,98.93,445.371,206.745
1.5,104.28,104.28,453.33,200.764
1.55,111.265,111.265,463.225,194.941
1.6,118.398,118.398,472.825,189.101
1.65,125.675,125.675,482.103,181.975
1.7,133.09,133.09,491.024,174.839
1.75,140.64,140.64,499.633,169.557
1.8,148.318,148.318,507.979,164.265
1.85,156.122,156.122,516.138,162.106
1.9,164.049,164.049,524.19,159.938
1.95,172.098,172.098,532.1,156.493
2,180.267,180.267,539.839,153.041
2.048,188.218,188.218,547.054,147.687
2.084,194.249,194.249,552.139,134.77
2.102,197.284,197.284,554.278,102.887
2.129,201.856,201.856,556.49,60.912
2.134,202.704,202.704,556.775,53.146
2.142,203.977,203.977,557.149,46.516
2.153,205.889,205.889,557.615,36.578
2.17,208.758,208.758,558.107,21.683
2.186,211.544,211.544,558.343,7.244
2.211,215.725,215.725,558.35,-6.854
2.237,220.223,220.223,557.969,-21.998
2.277,226.961,226.961,556.86,-33.924
2.3,230.92,230.92,555.984,-40.932
2.335,236.846,236.846,554.475,-45.259
2.385,245.278,245.278,552.06,-51.424
# Event BURNOUT occurred at t=2.4 seconds
# Event EJECTION_CHARGE occurred at t=2.4 seconds
2.4,247.798,247.798,551.273,-53.268
2.422,251.57,251.57,550.079,-53.166
2.456,257.214,257.214,548.287,-53.012
2.506,265.549,265.549,545.643,-52.789
2.556,273.845,273.845,543.009,-52.569
2.606,282.1,282.1,540.387,-52.349
2.656,290.316,290.316,537.776,-52.133
2.706,298.492,298.492,535.174,-51.919
2.756,306.628,306.628,532.582,-51.709
2.806,314.725,314.725,530.003,-51.499
2.856,322.783,322.783,527.431,-51.289
2.906,330.801,330.801,524.872,-51.086
2.956,338.781,338.781,522.323,-50.883
3.006,346.722,346.722,519.783,-50.682
3.056,354.624,354.624,517.257,-50.482
3.106,362.488,362.488,514.738,-50.285
3.156,370.313,370.313,512.228,-50.092
3.206,378.1,378.1,509.728,-49.898
3.256,385.85,385.85,507.238,-49.708
3.306,393.561,393.561,504.757,-49.518
3.356,401.235,401.235,502.287,-49.331
3.406,408.871,408.871,499.823,-49.147
3.456,416.469,416.469,497.372,-48.963
3.506,424.031,424.031,494.928,-48.783
3.556,431.555,431.555,492.493,-48.602
3.606,439.042,439.042,490.066,-48.425
3.656,446.492,446.492,487.651,-48.248
3.706,453.906,453.906,485.243,-48.074
3.756,461.282,461.282,482.841,-47.9
3.806,468.623,468.623,480.453,-47.73
3.856,475.927,475.927,478.071,-47.562
3.906,483.194,483.194,475.696,-47.395
3.956,490.426,490.426,473.33,-47.228
4.006,497.621,497.621,470.971,-47.064
4.056,504.781,504.781,468.622,-46.903
4.106,511.905,511.905,466.283,-46.742
4.156,518.993,518.993,463.95,-46.585
4.206,526.046,526.046,461.624,-46.427
4.256,533.064,533.064,459.308,-46.273
4.306,540.046,540.046,456.998,-46.119
4.356,546.993,546.993,454.695,-45.965
4.406,553.905,553.905,452.402,-45.814
4.456,560.782,560.782,450.112,-45.666
4.506,567.625,567.625,447.835,-45.515
4.556,574.432,574.432,445.561,-45.371
4.606,581.205,581.205,443.297,-45.223
4.656,587.944,587.944,441.04,-45.082
4.706,594.648,594.648,438.789,-44.938
4.756,601.318,601.318,436.545,-44.797
4.806,607.954,607.954,434.308,-44.656
4.856,614.556,614.556,432.08,-44.518
4.906,621.124,621.124,429.856,-44.38
4.956,627.658,627.658,427.641,-44.245
5.006,634.159,634.159,425.433,-44.111
5.056,640.625,640.625,423.232,-43.976
5.106,647.059,647.059,421.033,-43.845
5.156,653.459,653.459,418.845,-43.714
5.206,659.825,659.825,416.663,-43.586
5.256,666.158,666.158,414.488,-43.458
5.306,672.459,672.459,412.316,-43.33
5.356,678.726,678.726,410.154,-43.205
5.406,684.96,684.96,407.995,-43.081
5.456,691.162,691.162,405.846,-42.956
5.506,697.33,697.33,403.701,-42.835
5.556,703.467,703.467,401.562,-42.713
5.606,709.57,709.57,399.429,-42.592
5.656,715.641,715.641,397.303,-42.474
5.706,721.68,721.68,395.184,-42.356
5.756,727.686,727.686,393.068,-42.238
5.806,733.661,733.661,390.958,-42.123
5.856,739.603,739.603,388.855,-42.008
5.906,745.513,745.513,386.759,-41.896
5.956,751.391,751.391,384.665,-41.781
6.006,757.238,757.238,382.579,-41.67
6.056,763.052,763.052,380.499,-41.562
6.106,768.835,768.835,378.422,-41.45
6.156,774.587,774.587,376.355,-41.342
6.206,780.307,780.307,374.288,-41.237
6.256,785.995,785.995,372.231,-41.129
6.306,791.652,791.652,370.177,-41.024
6.356,797.278,797.278,368.127,-40.919
6.406,802.873,802.873,366.083,-40.817
6.456,808.436,808.436,364.045,-40.715
6.506,813.969,813.969,362.011,-40.614
6.556,819.47,819.47,359.984,-40.512
6.606,824.941,824.941,357.963,-40.413
6.656,830.381,830.381,355.942,-40.315
6.706,835.79,835.79,353.93,-40.217
6.756,841.169,841.169,351.923,-40.118
6.806,846.517,846.517,349.918,-40.023
6.856,851.834,851.834,347.92,-39.928
6.906,857.122,857.122,345.925,-39.833
6.956,862.378,862.378,343.937,-39.741
7.006,867.605,867.605,341.952,-39.649
7.056,872.801,872.801,339.97,-39.557
7.106,877.967,877.967,337.995,-39.465
7.156,883.103,883.103,336.024,-39.377
7.206,888.209,888.209,334.058,-39.285
7.256,893.285,893.285,332.096,-39.196
7.306,898.331,898.331,330.138,-39.111
7.356,903.348,903.348,328.186,-39.022
7.406,908.334,908.334,326.237,-38.937
7.456,913.291,913.291,324.291,-38.852
7.506,918.219,918.219,322.349,-38.77
7.556,923.117,923.117,320.413,-38.684
7.606,927.985,927.985,318.481,-38.602
7.656,932.824,932.824,316.555,-38.52
7.706,937.634,937.634,314.629,-38.438
7.756,942.414,942.414,312.71,-38.36
7.806,947.165,947.165,310.794,-38.278
7.856,951.887,951.887,308.881,-38.199
7.906,956.58,956.58,306.975,-38.12
7.956,961.244,961.244,305.069,-38.045
8.006,965.878,965.878,303.169,-37.966
8.056,970.484,970.484,301.273,-37.89
8.106,975.061,975.061,299.38,-37.815
8.156,979.609,979.609,297.493,-37.74
8.206,984.129,984.129,295.607,-37.667
8.256,988.62,988.62,293.724,-37.592
8.306,993.082,993.082,291.847,-37.52
8.356,997.515,997.515,289.974,-37.448
8.406,1001.92,1001.92,288.104,-37.375
8.456,1006.296,1006.296,286.237,-37.306
8.506,1010.645,1010.645,284.373,-37.238
8.556,1014.964,1014.964,282.513,-37.169
8.606,1019.255,1019.255,280.656,-37.1
8.656,1023.519,1023.519,278.802,-37.031
8.706,1027.753,1027.753,276.952,-36.962
8.756,1031.96,1031.96,275.105,-36.896
8.806,1036.139,1036.139,273.261,-36.831
8.856,1040.289,1040.289,271.424,-36.765
8.906,1044.412,1044.412,269.587,-36.699
