# BEST 0-5 (Up to date)
# 722 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (33.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (kg)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,5.829e-4,0.117,11.659,25.32
0.02,0.004,0.591,47.479,25.312
0.03,0.014,1.294,70.318,25.302
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.031,2.114,81.945,25.291
0.05,0.056,2.996,88.309,25.279
0.06,0.091,3.905,90.924,25.266
0.07,0.134,4.817,91.198,25.254
0.08,0.187,5.732,91.471,25.241
0.09,0.249,6.649,91.745,25.229
0.1,0.32,7.569,92.019,25.216
0.11,0.4,8.49,92.142,25.203
0.12,0.49,9.411,92.114,25.191
0.13,0.589,10.331,92.086,25.178
0.14,0.696,11.252,92.058,25.165
0.15,0.814,12.172,92.029,25.153
0.16,0.94,13.091,91.886,25.14
0.17,1.075,14.007,91.629,25.128
0.18,1.22,14.92,91.372,25.115
0.19,1.374,15.831,91.114,25.103
0.2,1.537,16.739,90.856,25.09
0.21,1.708,17.645,90.596,25.078
0.22,1.889,18.548,90.335,25.065
0.23,2.079,19.449,90.074,25.053
0.24,2.278,20.347,89.812,25.041
0.25,2.486,21.242,89.55,25.028
0.26,2.703,22.138,89.59,25.016
0.27,2.929,23.037,89.934,25.004
0.28,3.164,23.939,90.277,24.991
0.29,3.408,24.845,90.621,24.979
# Event LAUNCHROD occurred at t=0.3 seconds
0.3,3.661,25.755,90.964,24.967
0.315,4.058,27.126,91.461,24.948
0.338,4.691,29.2,92.264,24.92
0.371,5.73,32.361,93.776,24.876
0.421,7.469,37.222,97.446,24.81
0.471,9.458,42.334,102.35,24.741
0.521,11.709,47.689,107.232,24.67
0.571,14.232,53.233,110.989,24.596
0.621,17.036,58.937,114.203,24.522
0.671,20.126,64.68,114.971,24.446
0.721,23.504,70.437,115.234,24.37
0.771,27.171,76.228,115.92,24.294
0.821,31.128,82.054,116.62,24.218
0.871,35.376,87.886,116.723,24.142
0.921,39.916,93.718,116.699,24.065
0.971,44.748,99.554,116.804,23.989
1.021,49.872,105.385,116.673,23.914
1.071,55.284,111.105,114.452,23.839
1.121,60.979,116.687,111.656,23.766
1.171,66.948,122.093,108.142,23.695
1.221,73.179,127.124,100.623,23.628
1.271,79.642,131.433,86.174,23.57
1.321,86.312,135.364,78.588,23.517
1.371,93.174,139.085,74.385,23.465
1.421,100.216,142.626,70.787,23.416
1.471,107.433,146.032,68.077,23.368
1.521,114.817,149.315,65.612,23.321
1.571,122.362,152.496,63.591,23.276
1.621,130.064,155.58,61.625,23.232
1.671,137.917,158.55,59.348,23.189
1.721,145.916,161.405,57.052,23.147
1.771,154.055,164.168,55.206,23.106
1.821,162.331,166.848,53.55,23.066
1.871,170.739,169.484,52.654,23.027
1.921,179.278,172.081,51.886,22.988
1.971,187.946,174.624,50.807,22.949
2.021,196.739,177.107,49.596,22.911
2.071,205.654,179.482,47.433,22.875
2.121,214.673,181.285,36.021,22.845
2.171,223.755,181.976,13.795,22.827
2.221,232.854,181.991,0.312,22.817
2.271,241.943,181.58,-8.197,22.811
2.321,251.006,180.927,-13.041,22.808
2.371,260.033,180.149,-15.517,22.807
# Event BURNOUT occurred at t=2.4 seconds
# Event EJECTION_CHARGE occurred at t=2.4 seconds
2.4,265.205,179.656,-17.106,22.807
2.443,272.936,178.894,-17.629,22.807
2.493,281.859,178.015,-17.543,22.807
2.543,290.738,177.14,-17.458,22.807
2.593,299.573,176.269,-17.374,22.807
2.643,308.365,175.403,-17.29,22.807
2.693,317.113,174.54,-17.208,22.807
2.743,325.819,173.682,-17.127,22.807
2.793,334.481,172.828,-17.047,22.807
2.843,343.102,171.977,-16.967,22.807
2.893,351.679,171.131,-16.889,22.807
2.943,360.215,170.288,-16.811,22.807
2.993,368.708,169.45,-16.734,22.807
3.043,377.16,168.615,-16.658,22.807
3.093,385.57,167.784,-16.583,22.807
3.143,393.938,166.957,-16.509,22.807
3.193,402.265,166.133,-16.436,22.807
3.243,410.552,165.313,-16.363,22.807
3.293,418.797,164.497,-16.291,22.807
3.343,427.001,163.684,-16.22,22.807
3.393,435.165,162.875,-16.15,22.807
3.443,443.289,162.069,-16.08,22.807
3.493,451.372,161.267,-16.011,22.807
3.543,459.416,160.468,-15.943,22.807
3.593,467.419,159.672,-15.876,22.807
3.643,475.383,158.88,-15.81,22.807
3.693,483.307,158.091,-15.744,22.807
3.743,491.192,157.306,-15.679,22.807
3.793,499.038,156.523,-15.614,22.807
3.843,506.844,155.744,-15.551,22.807
3.893,514.612,154.968,-15.488,22.807
3.943,522.341,154.196,-15.426,22.807
3.993,530.032,153.426,-15.364,22.807
4.043,537.684,152.659,-15.303,22.807
4.093,545.298,151.895,-15.243,22.807
4.143,552.874,151.135,-15.183,22.807
4.193,560.411,150.377,-15.124,22.807
4.243,567.911,149.622,-15.066,22.807
4.293,575.374,148.871,-15.008,22.807
4.343,582.798,148.122,-14.951,22.807
4.393,590.186,147.375,-14.894,22.807
4.443,597.536,146.632,-14.838,22.807
4.493,604.849,145.892,-14.783,22.807
4.543,612.125,145.154,-14.728,22.807
4.593,619.365,144.419,-14.674,22.807
4.643,626.567,143.686,-14.62,22.807
4.693,633.733,142.957,-14.567,22.807
4.743,640.863,142.23,-14.514,22.807
4.793,647.956,141.505,-14.462,22.807
4.843,655.013,140.784,-14.41,22.807
4.893,662.035,140.064,-14.359,22.807
4.943,669.02,139.348,-14.308,22.807
4.993,675.969,138.634,-14.258,22.807
5.043,682.883,137.922,-14.209,22.807
5.093,689.762,137.213,-14.16,22.807
5.143,696.605,136.506,-14.111,22.807
5.193,703.412,135.802,-14.063,22.807
5.243,710.185,135.1,-14.015,22.807
5.293,716.922,134.4,-13.968,22.807
5.343,723.625,133.703,-13.921,22.807
5.393,730.293,133.008,-13.875,22.807
5.443,736.926,132.315,-13.829,22.807
5.493,743.524,131.625,-13.784,22.807
5.543,750.088,130.937,-13.739,22.807
5.593,756.618,130.251,-13.695,22.807
5.643,763.113,129.567,-13.651,22.807
5.693,769.575,128.886,-13.607,22.807
5.743,776.002,128.207,-13.564,22.807
5.793,782.395,127.53,-13.521,22.807
